,patch,directory,lichen,class
38,Candelariella_reflexa_texture03_crop_ 7.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 7.jpg,Candelariella_reflexa,0
39,Candelariella_reflexa_texture03_crop_ 8.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 8.jpg,Candelariella_reflexa,0
40,Candelariella_reflexa_texture03_crop_ 9.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 9.jpg,Candelariella_reflexa,0
41,Candelariella_reflexa_texture03_crop_ 10.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 10.jpg,Candelariella_reflexa,0
42,Candelariella_reflexa_texture03_crop_ 11.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 11.jpg,Candelariella_reflexa,0
43,Candelariella_reflexa_texture03_crop_ 12.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 12.jpg,Candelariella_reflexa,0
44,Candelariella_reflexa_texture03_crop_ 13.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 13.jpg,Candelariella_reflexa,0
45,Candelariella_reflexa_texture03_crop_ 14.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 14.jpg,Candelariella_reflexa,0
46,Candelariella_reflexa_texture03_crop_ 15.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 15.jpg,Candelariella_reflexa,0
47,Candelariella_reflexa_texture03_crop_ 16.jpg,patches/train/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 16.jpg,Candelariella_reflexa,0
48,Amandinea_punctata_texture01_crop_ 1.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 1.jpg,Amandinea_punctata,1
49,Amandinea_punctata_texture01_crop_ 2.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 2.jpg,Amandinea_punctata,1
50,Amandinea_punctata_texture01_crop_ 3.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 3.jpg,Amandinea_punctata,1
51,Amandinea_punctata_texture01_crop_ 4.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 4.jpg,Amandinea_punctata,1
52,Amandinea_punctata_texture01_crop_ 5.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 5.jpg,Amandinea_punctata,1
53,Amandinea_punctata_texture01_crop_ 6.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 6.jpg,Amandinea_punctata,1
54,Amandinea_punctata_texture01_crop_ 7.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 7.jpg,Amandinea_punctata,1
55,Amandinea_punctata_texture01_crop_ 8.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 8.jpg,Amandinea_punctata,1
56,Amandinea_punctata_texture01_crop_ 9.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 9.jpg,Amandinea_punctata,1
57,Amandinea_punctata_texture01_crop_ 10.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 10.jpg,Amandinea_punctata,1
58,Amandinea_punctata_texture01_crop_ 11.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 11.jpg,Amandinea_punctata,1
59,Amandinea_punctata_texture01_crop_ 12.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 12.jpg,Amandinea_punctata,1
60,Amandinea_punctata_texture01_crop_ 13.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 13.jpg,Amandinea_punctata,1
61,Amandinea_punctata_texture01_crop_ 14.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 14.jpg,Amandinea_punctata,1
62,Amandinea_punctata_texture01_crop_ 15.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 15.jpg,Amandinea_punctata,1
63,Amandinea_punctata_texture01_crop_ 16.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture01_crop_ 16.jpg,Amandinea_punctata,1
64,Amandinea_punctata_texture02_crop_ 1.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 1.jpg,Amandinea_punctata,1
65,Amandinea_punctata_texture02_crop_ 2.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 2.jpg,Amandinea_punctata,1
66,Amandinea_punctata_texture02_crop_ 3.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 3.jpg,Amandinea_punctata,1
67,Amandinea_punctata_texture02_crop_ 4.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 4.jpg,Amandinea_punctata,1
68,Amandinea_punctata_texture02_crop_ 5.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 5.jpg,Amandinea_punctata,1
69,Amandinea_punctata_texture02_crop_ 6.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 6.jpg,Amandinea_punctata,1
70,Amandinea_punctata_texture02_crop_ 7.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 7.jpg,Amandinea_punctata,1
71,Amandinea_punctata_texture02_crop_ 8.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 8.jpg,Amandinea_punctata,1
72,Amandinea_punctata_texture02_crop_ 9.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 9.jpg,Amandinea_punctata,1
73,Amandinea_punctata_texture02_crop_ 10.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 10.jpg,Amandinea_punctata,1
74,Amandinea_punctata_texture02_crop_ 11.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 11.jpg,Amandinea_punctata,1
75,Amandinea_punctata_texture02_crop_ 12.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 12.jpg,Amandinea_punctata,1
76,Amandinea_punctata_texture02_crop_ 13.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 13.jpg,Amandinea_punctata,1
77,Amandinea_punctata_texture02_crop_ 14.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 14.jpg,Amandinea_punctata,1
78,Amandinea_punctata_texture02_crop_ 15.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 15.jpg,Amandinea_punctata,1
79,Amandinea_punctata_texture02_crop_ 16.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture02_crop_ 16.jpg,Amandinea_punctata,1
80,Amandinea_punctata_texture03_crop_ 1.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 1.jpg,Amandinea_punctata,1
81,Amandinea_punctata_texture03_crop_ 2.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 2.jpg,Amandinea_punctata,1
82,Amandinea_punctata_texture03_crop_ 3.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 3.jpg,Amandinea_punctata,1
83,Amandinea_punctata_texture03_crop_ 4.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 4.jpg,Amandinea_punctata,1
84,Amandinea_punctata_texture03_crop_ 5.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 5.jpg,Amandinea_punctata,1
85,Amandinea_punctata_texture03_crop_ 6.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 6.jpg,Amandinea_punctata,1
86,Amandinea_punctata_texture03_crop_ 7.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 7.jpg,Amandinea_punctata,1
87,Amandinea_punctata_texture03_crop_ 8.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 8.jpg,Amandinea_punctata,1
88,Amandinea_punctata_texture03_crop_ 9.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 9.jpg,Amandinea_punctata,1
89,Amandinea_punctata_texture03_crop_ 10.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 10.jpg,Amandinea_punctata,1
90,Amandinea_punctata_texture03_crop_ 11.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 11.jpg,Amandinea_punctata,1
91,Amandinea_punctata_texture03_crop_ 12.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 12.jpg,Amandinea_punctata,1
92,Amandinea_punctata_texture03_crop_ 13.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 13.jpg,Amandinea_punctata,1
93,Amandinea_punctata_texture03_crop_ 14.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 14.jpg,Amandinea_punctata,1
94,Amandinea_punctata_texture03_crop_ 15.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 15.jpg,Amandinea_punctata,1
95,Amandinea_punctata_texture03_crop_ 16.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture03_crop_ 16.jpg,Amandinea_punctata,1
96,Amandinea_punctata_texture04_crop_ 1.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 1.jpg,Amandinea_punctata,1
97,Amandinea_punctata_texture04_crop_ 2.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 2.jpg,Amandinea_punctata,1
98,Amandinea_punctata_texture04_crop_ 3.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 3.jpg,Amandinea_punctata,1
99,Amandinea_punctata_texture04_crop_ 4.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 4.jpg,Amandinea_punctata,1
100,Amandinea_punctata_texture04_crop_ 5.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 5.jpg,Amandinea_punctata,1
101,Amandinea_punctata_texture04_crop_ 6.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 6.jpg,Amandinea_punctata,1
102,Amandinea_punctata_texture04_crop_ 7.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 7.jpg,Amandinea_punctata,1
103,Amandinea_punctata_texture04_crop_ 8.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 8.jpg,Amandinea_punctata,1
104,Amandinea_punctata_texture04_crop_ 9.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 9.jpg,Amandinea_punctata,1
105,Amandinea_punctata_texture04_crop_ 10.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 10.jpg,Amandinea_punctata,1
106,Amandinea_punctata_texture04_crop_ 11.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 11.jpg,Amandinea_punctata,1
107,Amandinea_punctata_texture04_crop_ 12.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 12.jpg,Amandinea_punctata,1
108,Amandinea_punctata_texture04_crop_ 13.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 13.jpg,Amandinea_punctata,1
109,Amandinea_punctata_texture04_crop_ 14.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 14.jpg,Amandinea_punctata,1
110,Amandinea_punctata_texture04_crop_ 15.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 15.jpg,Amandinea_punctata,1
111,Amandinea_punctata_texture04_crop_ 16.jpg,patches/train/Amandinea_punctata/Amandinea_punctata_texture04_crop_ 16.jpg,Amandinea_punctata,1
112,Lecidella_elaeochroma_texture01_crop_ 1.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 1.jpg,Lecidella_elaeochroma,2
113,Lecidella_elaeochroma_texture01_crop_ 2.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 2.jpg,Lecidella_elaeochroma,2
114,Lecidella_elaeochroma_texture01_crop_ 3.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 3.jpg,Lecidella_elaeochroma,2
115,Lecidella_elaeochroma_texture01_crop_ 4.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 4.jpg,Lecidella_elaeochroma,2
116,Lecidella_elaeochroma_texture01_crop_ 5.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 5.jpg,Lecidella_elaeochroma,2
117,Lecidella_elaeochroma_texture01_crop_ 6.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 6.jpg,Lecidella_elaeochroma,2
118,Lecidella_elaeochroma_texture01_crop_ 7.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 7.jpg,Lecidella_elaeochroma,2
119,Lecidella_elaeochroma_texture01_crop_ 8.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 8.jpg,Lecidella_elaeochroma,2
120,Lecidella_elaeochroma_texture01_crop_ 9.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 9.jpg,Lecidella_elaeochroma,2
121,Lecidella_elaeochroma_texture01_crop_ 10.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 10.jpg,Lecidella_elaeochroma,2
122,Lecidella_elaeochroma_texture01_crop_ 11.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 11.jpg,Lecidella_elaeochroma,2
123,Lecidella_elaeochroma_texture01_crop_ 12.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 12.jpg,Lecidella_elaeochroma,2
124,Lecidella_elaeochroma_texture01_crop_ 13.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 13.jpg,Lecidella_elaeochroma,2
125,Lecidella_elaeochroma_texture01_crop_ 14.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 14.jpg,Lecidella_elaeochroma,2
126,Lecidella_elaeochroma_texture01_crop_ 15.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 15.jpg,Lecidella_elaeochroma,2
127,Lecidella_elaeochroma_texture01_crop_ 16.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture01_crop_ 16.jpg,Lecidella_elaeochroma,2
128,Lecidella_elaeochroma_texture02_crop_ 1.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 1.jpg,Lecidella_elaeochroma,2
129,Lecidella_elaeochroma_texture02_crop_ 2.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 2.jpg,Lecidella_elaeochroma,2
130,Lecidella_elaeochroma_texture02_crop_ 3.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 3.jpg,Lecidella_elaeochroma,2
131,Lecidella_elaeochroma_texture02_crop_ 4.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 4.jpg,Lecidella_elaeochroma,2
132,Lecidella_elaeochroma_texture02_crop_ 5.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 5.jpg,Lecidella_elaeochroma,2
133,Lecidella_elaeochroma_texture02_crop_ 6.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 6.jpg,Lecidella_elaeochroma,2
134,Lecidella_elaeochroma_texture02_crop_ 7.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 7.jpg,Lecidella_elaeochroma,2
135,Lecidella_elaeochroma_texture02_crop_ 8.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 8.jpg,Lecidella_elaeochroma,2
136,Lecidella_elaeochroma_texture02_crop_ 9.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 9.jpg,Lecidella_elaeochroma,2
137,Lecidella_elaeochroma_texture02_crop_ 10.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 10.jpg,Lecidella_elaeochroma,2
138,Lecidella_elaeochroma_texture02_crop_ 11.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 11.jpg,Lecidella_elaeochroma,2
139,Lecidella_elaeochroma_texture02_crop_ 12.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 12.jpg,Lecidella_elaeochroma,2
140,Lecidella_elaeochroma_texture02_crop_ 13.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 13.jpg,Lecidella_elaeochroma,2
141,Lecidella_elaeochroma_texture02_crop_ 14.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 14.jpg,Lecidella_elaeochroma,2
142,Lecidella_elaeochroma_texture02_crop_ 15.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 15.jpg,Lecidella_elaeochroma,2
143,Lecidella_elaeochroma_texture02_crop_ 16.jpg,patches/train/Lecidella_elaeochroma/Lecidella_elaeochroma_texture02_crop_ 16.jpg,Lecidella_elaeochroma,2
144,Melanelixia_glabratula_texture01_crop_ 1.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 1.jpg,Melanelixia_glabratula,3
145,Melanelixia_glabratula_texture01_crop_ 2.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 2.jpg,Melanelixia_glabratula,3
146,Melanelixia_glabratula_texture01_crop_ 3.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 3.jpg,Melanelixia_glabratula,3
147,Melanelixia_glabratula_texture01_crop_ 4.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 4.jpg,Melanelixia_glabratula,3
148,Melanelixia_glabratula_texture01_crop_ 5.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 5.jpg,Melanelixia_glabratula,3
149,Melanelixia_glabratula_texture01_crop_ 6.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 6.jpg,Melanelixia_glabratula,3
150,Melanelixia_glabratula_texture01_crop_ 7.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 7.jpg,Melanelixia_glabratula,3
151,Melanelixia_glabratula_texture01_crop_ 8.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 8.jpg,Melanelixia_glabratula,3
152,Melanelixia_glabratula_texture01_crop_ 9.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 9.jpg,Melanelixia_glabratula,3
153,Melanelixia_glabratula_texture01_crop_ 10.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 10.jpg,Melanelixia_glabratula,3
154,Melanelixia_glabratula_texture01_crop_ 11.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 11.jpg,Melanelixia_glabratula,3
155,Melanelixia_glabratula_texture01_crop_ 12.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 12.jpg,Melanelixia_glabratula,3
156,Melanelixia_glabratula_texture01_crop_ 13.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 13.jpg,Melanelixia_glabratula,3
157,Melanelixia_glabratula_texture01_crop_ 14.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 14.jpg,Melanelixia_glabratula,3
158,Melanelixia_glabratula_texture01_crop_ 15.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 15.jpg,Melanelixia_glabratula,3
159,Melanelixia_glabratula_texture01_crop_ 16.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture01_crop_ 16.jpg,Melanelixia_glabratula,3
160,Melanelixia_glabratula_texture02_crop_ 1.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture02_crop_ 1.jpg,Melanelixia_glabratula,3
161,Melanelixia_glabratula_texture02_crop_ 2.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture02_crop_ 2.jpg,Melanelixia_glabratula,3
162,Melanelixia_glabratula_texture02_crop_ 3.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture02_crop_ 3.jpg,Melanelixia_glabratula,3
163,Melanelixia_glabratula_texture02_crop_ 4.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture02_crop_ 4.jpg,Melanelixia_glabratula,3
164,Melanelixia_glabratula_texture02_crop_ 5.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture02_crop_ 5.jpg,Melanelixia_glabratula,3
165,Melanelixia_glabratula_texture02_crop_ 6.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture02_crop_ 6.jpg,Melanelixia_glabratula,3
166,Melanelixia_glabratula_texture02_crop_ 7.jpg,patches/train/Melanelixia_glabratula/Melanelixia_glabratula_texture02_crop_ 7.jpg,Melanelixia_glabratula,3
